index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
1,( <= ( max ( + ( min ( min ( - ( / ( - ( min ( max ( min ( * v1 8 ) 2004 ) 5 ) ( + ( + v2 v3 ) 255 ) ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 252 ) 1 ) ( / ( - ( - ( + v2 v3 ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 248 ) 252 ) ) ( - ( + 0 ( / ( + v5 251 ) 252 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ),1/0,false,(<= (/ (min (+ (max (min -4 (* 8 (/ v4 -8))) -1992) (min (+ (max 5 (* 8 v1)) -252) (+ 3 (min (+ v2 v3) 1749)))) (+ (+ v2 (+ v3 -248)) (min (max (min -4 (* 8 (/ v4 -8))) -1992) (+ (+ 248 (* v3 -1)) (+ (+ -1 v5) (* v2 -1)))))) 252) (+ -1 (max 0 (/ (+ (max (min -4 (* 8 (/ v4 -8))) -1992) (+ v3 255)) 252)))),-1,8,18873,1189,3.197919819,Time Limit : 0.100218013,,false,2945.0
2,( != ( / ( + ( - v0 v1 ) 20 ) 9 ) 0 ),1/0,false,(!= (/ (+ 20 (- v0 v1)) 9) 0),-1,11,140,56,0.002950323,Saturation,,false,445.0
3,( == ( * v0 2 ) ( - ( + ( * v0 2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 2 ) 1 ) v2 ) 2 ) v1 ) 2 ) 1 ) v2 ) 2 ) v1 ) 4 ) 8 ) ) 1 ) ),1/0,true,0,-1,7,4270,621,0.119026328,Goal 0 Matched,,false,241.0
5,( != ( + ( / ( - ( max v0 0 ) v1 ) 3 ) 3 ) 0 ),1/0,false,(!= 3 (/ (+ (- 0 v1) (max 0 v0)) -3)),-1,17,12970,1992,3.1920912250000004,Time Limit : 0.100141751,,false,479.0
12,( >= ( - -15 ( max v0 -13 ) ) ( - ( + ( - -15 ( max v0 -13 ) ) ( + ( max v0 -13 ) 17 ) ) 1 ) ),1/0,true,0,-1,5,564,110,0.002285255,Goal 0 Matched,,false,69.0
13,( == 0 ( - ( + 0 ( + ( * ( min ( - ( - ( max ( / ( + ( + v0 v1 ) 23 ) 8 ) 249 ) ( * v2 8 ) ) ( min ( / v1 8 ) 4 ) ) 3 ) 2 ) 10 ) ) 1 ) ),1/0,true,0,-1,4,410,16,0.001253081,Goal 0 Matched,,false,193.0
20,( != ( / ( + ( * v0 64 ) 427 ) 276 ) 0 ),1/0,false,(!= (/ (+ (* v0 64) 427) 276) 0),-1,1,13,0,0.000100386,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,460.0
22,( <= ( max ( + ( min ( min ( + ( - ( / ( min ( + ( * v3 8 ) 2 ) ( + v4 v5 ) ) 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 7 ) ( - 7 ( * ( max ( - v1 v2 ) -8 ) 2 ) ) ) ( - ( + 0 ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) ) 1 ) ) 1 ) ( min ( max ( + ( - ( / v5 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 8 ) 0 ) ( + ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) 0 ) ) ) ( min ( max ( + ( - ( / v5 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 8 ) 0 ) ( + ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) 0 ) ) ),1/0,false,(<= (min (+ (min (* v3 2) (/ (+ v4 v5) 4)) (+ 7 (+ (* v1 -2) (* v6 -24)))) (+ 7 (* 2 (min 8 (- v2 v1))))) (+ (max 0 (+ (+ (* v1 -2) (* v6 -24)) (/ (+ v5 32) 4))) -1)),-1,8,18170,819,3.2722975619999994,Time Limit : 0.100012248,,false,3286.0
27,( != ( / ( + ( - v0 v1 ) 81 ) 68 ) 0 ),1/0,false,(!= (/ (+ 81 (- v0 v1)) 68) 0),-1,11,140,56,0.0029032230000000003,Saturation,,false,453.0
30,( == ( - ( min ( * ( - v0 v1 ) 16 ) 72 ) 72 ) 1 ),1/0,true,0,-1,4,129,1,0.000580701,Goal 0 Matched,,false,45.0
