 (max(min(min(((min(max(min(v1*8, 2004), 5), (v2 + v3) + 255) - max(max(min(v4/8, 249), 0)*8, 4))/252) + -1, (((v2 + v3) - max(max(min(v4/8, 249), 0)*8, 4)) + -248)/252), (0 + ((v5 + 251)/252)) - 1) + 1, min(max(((v3 - max(max(min(v4/8, 249), 0)*8, 4)) + 255)/252, 0), ((v5 + 251)/252) + 0)) <= min(max(((v3 - max(max(min(v4/8, 249), 0)*8, 4)) + 255)/252, 0), ((v5 + 251)/252) + 0));0;2945
 ((((v0 - v1) + 20)/9) != 0);0;445
 ((v0*2) == (((v0*2) + ((((min((min(min((v1*2) + 1, v2)/2, v1)*2) + 1, v2)/2) - v1)*4) + 8)) - 1));0;241
 (min(max(max(max(min(v0, 2002), 3) + -3, v1), v2 + v1), (max(min(v0, 2002), 3) + v3) + 3) == min(max(max(max(min(v0, 2002), 3) + -3, v1), v2 + v1), (max(min(v0, 2002), 3) + v3) + 3));1;96
 ((((max(v0, 0) - v1)/3) + 3) != 0);0;479
 (((((((v0 + v1) + 39)/32) - ((v1 + -8)/32))/36) + 1) == ((((((v0 + v1) + 39)/32) - ((v1 + -8)/32))/36) + 1));1;76
 (min(v0*8, (((v1/8) + (v2*63))*8) + 485) == min(v0*8, (((v1/8) + (v2*63))*8) + 485));1;52
 ((((v0*8) + (v1*33)) - min((v2*8) - (v3*65), (min(v1*33, 32) + (v0*8)) + 23)) == (((v0*8) + (v1*33)) - min((v2*8) - (v3*65), (min(v1*33, 32) + (v0*8)) + 23)));1;95
 (min(max(min((v0/8) + v1, 249), 0), max(min(v0/8, 256), 7) + 114) == min(max(min((v0/8) + v1, 249), 0), max(min(v0/8, 256), 7) + 114));1;63
 ((max(min((v0 + v1)/8, 249), 0) + (v2*4)) == (max(min((v0 + v1)/8, 249), 0) + (v2*4)));1;49
 (min(((v0 + v1) + 7)/8, ((v1/8) + (v2*32)) + 31) == min(((v0 + v1) + 7)/8, ((v1/8) + (v2*32)) + 31));1;63
 ((-15 - max(v0, -13)) >= (((-15 - max(v0, -13)) + (max(v0, -13) + 17)) - 1));0;69
 (0 == ((0 + ((min((max(((v0 + v1) + 23)/8, 249) - (v2*8)) - min(v1/8, 4), 3)*2) + 10)) - 1));0;193
 ((((max(min(((v0 + v1) + 7)/8, 249), 0)/8)*2) - ((v2*2) + ((v3*17) + ((v4*9) + v5)))) == (((max(min(((v0 + v1) + 7)/8, 249), 0)/8)*2) - ((v2*2) + ((v3*17) + ((v4*9) + v5)))));1;105
 ((((v0*4) - (((v1 + v2) + -1)/8)) + v3) == (((v0*4) - (((v1 + v2) + -1)/8)) + v3));1;59
 (((((min((v0*4) + -8, v1) + 15)/4)*4) + ((v2*16) + v3)) == ((((min((v0*4) + -8, v1) + 15)/4)*4) + ((v2*16) + v3)));1;80
 (((v0*56) + (((v1 + v2)/250)*64)) == ((v0*56) + (((v1 + v2)/250)*64)));1;43
 (max(((112 - v0)/4) + ((((v1 + v2) + 251)/63)*8), (((((v1 + v2) + 251)/63)*8) - (v0/4)) + 28) == max(((112 - v0)/4) + ((((v1 + v2) + 251)/63)*8), (((((v1 + v2) + 251)/63)*8) - (v0/4)) + 28));1;99
 (((((((uint1)1 && ((((((min(v0, 4) + v1) + 0)*4) + 0) + -15) <= (((((min(v0, 4) + v1) + 0)*4) + 0) + -15))) && ((((((min(v0, 4) + v1) + (v2 + 3))*4) + 3) + -15) >= (((((min(v0, 4) + v1) + (((v2 + 4) + 0) - 1))*4) + ((4 + 0) - 1)) + -15))) && (v3 <= (0 + v3))) && ((v3 + 6) >= (((7 + 0) - 1) + v3))) && (((v4*2) + v5) <= ((v4*2) + v5))) && (((v4*2) + v5) >= ((v4*2) + v5)));1;282
 ((((v0*64) + 427)/276) != 0);0;460
 ((max(v0, 0) - ((v1*4) + v2)) == (max(v0, 0) - ((v1*4) + v2)));1;39
 (max(min(min(((min((v3*8) + 2, v4 + v5)/4) - (((v6*12) + v1)*2)) + 7, 7 - (max(v1 - v2, -8)*2)), (0 + ((min(v2 - v1, 8)*2) + 9)) - 1) + 1, min(max(((v5/4) - (((v6*12) + v1)*2)) + 8, 0), ((min(v2 - v1, 8)*2) + 9) + 0)) <= min(max(((v5/4) - (((v6*12) + v1)*2)) + 8, 0), ((min(v2 - v1, 8)*2) + 9) + 0));0;3286
 (min(((v0 + v1) + 68)/8, ((v0 + v1)/8) + (v2*8)) == min(((v0 + v1) + 68)/8, ((v0 + v1)/8) + (v2*8)));1;93
 (((((((uint1)1 && ((((0*4) + v0) + 0) <= (((0*4) + v0) + 0))) && ((((((v1 - v0)/4)*4) + v0) + 3) >= (((((v1 - v0)/4)*4) + v0) + ((4 + 0) - 1)))) && (v2 <= v2)) && (v2 >= v2)) && (v3 <= v3)) && (v3 >= v3));1;159
 ((((((max(min((v0 + v1)/63, 31), 0)*2) + v2)*4) - (v2*4)) - (max(min((v0 + v1)/63, 31), 0)*8)) == (((((max(min((v0 + v1)/63, 31), 0)*2) + v2)*4) - (v2*4)) - (max(min((v0 + v1)/63, 31), 0)*8)));1;144
 ((((((((v0 + v1) + 39)/8) - (v1/8))*8) + 753)/697) == (((((((v0 + v1) + 39)/8) - (v1/8))*8) + 753)/697));1;37
 ((((v0 - v1) + 81)/68) != 0);0;453
 ((min(((v0/32) + v1)*16, ((((v2 + v0) + 31)/32)*16) + 67) + (v3*8)) == (min(((v0/32) + v1)*16, ((((v2 + v0) + 31)/32)*16) + 67) + (v3*8)));1;83
 (min((((v0 + v1) + 63)/32)*4, (v2*4) + 35) == min((((v0 + v1) + 63)/32)*4, (v2*4) + 35));1;64
 ((min((v0 - v1)*16, 72) + -72) == 1);0;45
 (min(max(min(v0 + v1, 2000), 1) - max(min(v1, 1999), 0), v2 + 124) == min(max(min(v0 + v1, 2000), 1) - max(min(v1, 1999), 0), v2 + 124));1;128
 (min(min(v0*32, 56) + v1, max(min(v2, 990), -9) + 310) == min(min(v0*32, 56) + v1, max(min(v2, 990), -9) + 310));1;68
 (min(max(min(((v0 + v1) + 129)/2, 999), 0), v2 + 15) == min(max(min(((v0 + v1) + 129)/2, 999), 0), v2 + 15));1;94
 (min((v0*60) + (((v1*4) + v2)*32), (v3*8) + 140) == min((v0*60) + (((v1*4) + v2)*32), (v3*8) + 140));1;77
 (min((max(min(((v0 + v1) + 7)/8, 249), 0) - (v2*17)) - max(min(v1/8, 249), 0), min(v3, 6) + 7) == min((max(min(((v0 + v1) + 7)/8, 249), 0) - (v2*17)) - max(min(v1/8, 249), 0), min(v3, 6) + 7));1;108
 ((((max(min(((v0 + v1) + 7)/8, 249), 0) - max(min(v1/8, 249), 0)) + 85)/84) == (((max(min(((v0 + v1) + 7)/8, 249), 0) - max(min(v1/8, 249), 0)) + 85)/84));1;265
 ((min((v0/16)*8, 4) + (v1*340)) == (min((v0/16)*8, 4) + (v1*340)));1;79
 (min((v0/63)*8, ((((v1 + v0) + 314)/63)*8) + 29) == min((v0/63)*8, ((((v1 + v0) + 314)/63)*8) + 29));1;72
 ((((min((((v0 + v1) + 64)/65) - (v2*4), ((v1/65) + (v3*8)) + 3) + (v3*-8))*-2) + (((v1/65)*2) + v4)) == (((min((((v0 + v1) + 64)/65) - (v2*4), ((v1/65) + (v3*8)) + 3) + (v3*-8))*-2) + (((v1/65)*2) + v4)));1;127
 ((((max(v0 + v1, 2000) - min(v1, 0)) + 63)/64) == (((max(v0 + v1, 2000) - min(v1, 0)) + 63)/64));1;79
 (min((v0*4) + v1, v2 + 23) == min((v0*4) + v1, v2 + 23));1;55
 (min(((((v0 + v1) + 1999)/2000) - (v1/2000))*256, (v2*256) + 399) == min(((((v0 + v1) + 1999)/2000) - (v1/2000))*256, (v2*256) + 399));1;82
 ((((((v0 + v1) + 93)/2)*2) + -19) == (((((((v0 + v1) + 93)/2)*2) + -19) + (((((v0 + v1) + 1) % 2)*2) + 70)) - 1));0;185
 ((((v0*-12)/4)*4) == (v0*-12));1;121
 (max(min((v0 + 1009)/1004, v1), (v0 + 6)/1004) == max(min((v0 + 1009)/1004, v1), (v0 + 6)/1004));1;50
 ((((((v0 + v1) + 351)/32) - (v2*37)) - ((v1/32) + v3)) == (((((v0 + v1) + 351)/32) - (v2*37)) - ((v1/32) + v3)));1;39
 (((v0*44) + (min(v1*128, 124) + (v2 + v3))) == ((v0*44) + (min(v1*128, 124) + (v2 + v3))));1;48
 (((max(min((v2*-500) + (v1 - min(v1, 4)), 496), -4)/4)*4) == max(min((v2*-500) + (v1 - min(v1, 4)), 496), -4));0;969
 (min((v0*4) + ((v1*16) + v2), v3 + 8) == min((v0*4) + ((v1*16) + v2), v3 + 8));1;75
 (min((v0 + v1)*4, (((v2*125) + v1)*4) + 503) == min((v0 + v1)*4, (((v2*125) + v1)*4) + 503));1;62
 (min(((v0*256) + v1) + 245, v2) == min(((v0*256) + v1) + 245, v2));1;43
 (((v0*16) + -558) >= ((((v0*16) + -558) + 438) - 1));0;40
 ((((max(min((((v0 + v1) + 127)/32)*4, 246), -3) - max(min((v1/32)*4, 281), 32)) + 67)/32) == (((max(min((((v0 + v1) + 127)/32)*4, 246), -3) - max(min((v1/32)*4, 281), 32)) + 67)/32));1;248
 (((min(max(min(((v0 + v1) + 1)/2, 999), 0)*8, 7914)/4) - ((v2*4) + v3)) == ((min(max(min(((v0 + v1) + 1)/2, 999), 0)*8, 7914)/4) - ((v2*4) + v3)));1;102
 (min((v0*8) + v1, ((((v2 + v3) + 249)/250)*32) + 46) == min((v0*8) + v1, ((((v2 + v3) + 249)/250)*32) + 46));1;82
 (((v0*2) + ((v1*87) + v2)) == ((v0*2) + ((v1*87) + v2)));1;49
 (0 >= ((0 + ((((v0 + v1) % 8) + 220)/32)) - 1));0;40
 (0 == ((0 + (18 - max(v0*4, 14))) - 1));0;49
 (min(min(10 - (max((v0/63) + ((v1*2) - (((v2 + v0) + -1)/63)), -1)*8), 252 - (v3*8)), (min(((((v2 + v0) + -1)/63) - (v1*2)) - (v0/63), 1)*8) + 12) == min(min(10 - (max((v0/63) + ((v1*2) - (((v2 + v0) + -1)/63)), -1)*8), 252 - (v3*8)), (min(((((v2 + v0) + -1)/63) - (v1*2)) - (v0/63), 1)*8) + 12));1;170
 (min(1939 - ((v0*126) + v1), min(v2, 115) + 10) == min(1939 - ((v0*126) + v1), min(v2, 115) + 10));1;559
 ((max(min(min(v0*63, 62) + (v1 + v2), 1999), 0) + (v3*4)) == (max(min(min(v0*63, 62) + (v1 + v2), 1999), 0) + (v3*4)));1;99
 (max(((max(v0, 0) - v1) + 1)/32, 0) >= ((max(((max(v0, 0) - v1) + 1)/32, 0) + ((max((max(v0, 0) - v1)/32, -1) - max(((max(v0, 0) - v1) + 1)/32, 0)) + 1)) - 1));0;2828
 (((min((((v0 + v1) + 447)/32)*4, (((v1/32) + (v2*48))*4) + 115)*2) - (min(((v1/32) + (v2*48))*32, (min((((v0 + v1) + 447)/32)*4, (((v1/32) + (v2*48))*4) + -77)*8) + 609)/4)) == ((min((((v0 + v1) + 447)/32)*4, (((v1/32) + (v2*48))*4) + 115)*2) - (min(((v1/32) + (v2*48))*32, (min((((v0 + v1) + 447)/32)*4, (((v1/32) + (v2*48))*4) + -77)*8) + 609)/4)));1;168
 ((min(min((v0*4) + v1, min(v1, v2) + 8) + 4, (((min(v0*4, (((v3*-12) + v4) - v1) + 8) + 7)/4)*4) + v1) - (v0*4)) == (min(min((v0*4) + v1, min(v1, v2) + 8) + 4, (((min(v0*4, (((v3*-12) + v4) - v1) + 8) + 7)/4)*4) + v1) - (v0*4)));1;118
 ((v0 + -5) >= (((v0 + -5) + 15) - 1));0;33
 (((((min((v0*-1011) + (v1 - v2), 1000) + 16)/64)*64) + (v0*1011)) == ((((min((v0*-1011) + (v1 - v2), 1000) + 16)/64)*64) + (v0*1011)));1;72
 (((v0*16) + ((((v1 + v2)/8)*2) + ((v3*8) + v4))) == ((v0*16) + ((((v1 + v2)/8)*2) + ((v3*8) + v4))));1;65
 (max(-1012 - (v0*8), (v0*8) + 7) >= 0);0;315
 (min(max(min(v0 + v1, 2002), 3) + (v2*4), max(min(v0 + v1, 1745), -254) + 254) == min(max(min(v0 + v1, 2002), 3) + (v2*4), max(min(v0 + v1, 1745), -254) + 254));1;87
 ((min(((v0*8) - (v1*1236)) - (v2*8), 1224) + (v3*-8)) == (min(((v0*8) - (v1*1236)) - (v2*8), 1224) + (v3*-8)));1;71
 ((((((v0 + 2)/8) - (((max(min(v1, 2002), 3) + -3)/16)*2)) + 66)/64) == (((((v0 + 2)/8) - (((max(min(v1, 2002), 3) + -3)/16)*2)) + 66)/64));1;97
 ((((max((((max(((min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33) + ((v6 % (((v7*32) + 98)/33))*-33)) + (32 - ((v4/2000)*32)))/11, 0)*11) + ((v6 % (((v7*32) + 98)/33))*33))*64) + (((v4/2000)*32)*64), (min(((max(((min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33) + ((v6 % (((v7*32) + 98)/33))*-33)) + (32 - ((v4/2000)*32)))/11, 0)*88) + ((v6 % (((v7*32) + 98)/33))*264)) + (((v4/2000)*32)*8), (min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33)*8) + 322)*8) + 33)*-1)/4)*4) == (max((((max(((min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33) + ((v6 % (((v7*32) + 98)/33))*-33)) + (32 - ((v4/2000)*32)))/11, 0)*11) + ((v6 % (((v7*32) + 98)/33))*33))*64) + (((v4/2000)*32)*64), (min(((max(((min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33) + ((v6 % (((v7*32) + 98)/33))*-33)) + (32 - ((v4/2000)*32)))/11, 0)*88) + ((v6 % (((v7*32) + 98)/33))*264)) + (((v4/2000)*32)*8), (min(((v6 % (((v7*32) + 98)/33))*33) + ((v4/2000)*32), ((((v5 + v4) + 1999)/2000)*32) + 33)*8) + 322)*8) + 33)*-1));0;4762
 ((max(min(v0/8, 256), 7) + (v1*128)) == (max(min(v0/8, 256), 7) + (v1*128)));1;20
 (((v0*-64) + ((((v1 + v2) + 7)/8) - v3)) == ((v0*-64) + ((((v1 + v2) + 7)/8) - v3)));1;559
 (((min(max(min(v0, 999), 0) - (v1*32), (max(min(v2/2, 999), 0) + (v3*16)) + 15) + (v3*-16)) - (max(min(v2/2, 999), 0) + (v4*2))) == ((min(max(min(v0, 999), 0) - (v1*32), (max(min(v2/2, 999), 0) + (v3*16)) + 15) + (v3*-16)) - (max(min(v2/2, 999), 0) + (v4*2))));1;130
 ((((max(min(((v0 + v1) + 31)/8, 249), 0) - max(min(v1/8, 250), 1)) + 126)/125) == (((max(min(((v0 + v1) + 31)/8, 249), 0) - max(min(v1/8, 250), 1)) + 126)/125));1;320
 ((((((((v0 + v1) + -1)/63) - (v1/63))*8) + 93)/86) == (((((((v0 + v1) + -1)/63) - (v1/63))*8) + 93)/86));1;93
 (max(min(max(((v0 - (v1*8)) + 31)/32, 0), ((max(v2, 0) - v1)/4) + 1), min(min((((v3 + v0) - (v1*8)) + -1)/32, ((max(v2, 0) - v1) + -3)/4), (max(v2, 0) - v1)/4) + 1) == max(min(max(((v0 - (v1*8)) + 31)/32, 0), ((max(v2, 0) - v1)/4) + 1), min(min((((v3 + v0) - (v1*8)) + -1)/32, ((max(v2, 0) - v1) + -3)/4), (max(v2, 0) - v1)/4) + 1));1;178
 ((v0 - ((v1*4) + ((v2*60) + v3))) == (v0 - ((v1*4) + ((v2*60) + v3))));1;40
 ((((max(min((((v0 + v1) + -1)/63)*8, 244), -5) - max(min((v1/63)*8, 285), 36)) + 105)/63) == (((max(min((((v0 + v1) + -1)/63)*8, 244), -5) - max(min((v1/63)*8, 285), 36)) + 105)/63));1;220
 ((((((v0 + v1) + -1)/8) - (v2*125)) - (v1/8)) == (((((v0 + v1) + -1)/8) - (v2*125)) - (v1/8)));1;137
 (min(((max(min(v0/63, 31), 0)*16) + v1)*4, (max(min(((v2 + v0) + -1)/63, 31), 0)*64) + 158) == min(((max(min(v0/63, 31), 0)*16) + v1)*4, (max(min(((v2 + v0) + -1)/63, 31), 0)*64) + 158));1;117
