ID,Expression,HalideResult,HalideTime
1,( == ( - ( * ( max ( min ( / v0 2 ) 999 ) 0 ) 2 ) 4 ) ( - ( + ( - ( * ( max ( min ( / v0 2 ) 999 ) 0 ) 2 ) 4 ) ( + ( * v1 2 ) 12 ) ) 1 ) ),0,869
2,( == ( - ( * ( + ( * v0 3 ) v1 ) 8 ) 13 ) ( - ( + ( - ( * ( + ( * v0 3 ) v1 ) 8 ) 13 ) ( + ( * ( min v2 1 ) 8 ) 21 ) ) 1 ) ),0,869
3,( == ( * ( / ( * ( min ( + ( * ( % v2 ( / ( + v3 102 ) 16 ) ) 128 ) ( * ( max ( min ( * ( / v1 125 ) 16 ) 286 ) 37 ) 8 ) ) ( + ( * ( max ( min ( * ( / ( + ( + v4 v1 ) 124 ) 125 ) 16 ) 204 ) -45 ) 8 ) 564 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * ( % v2 ( / ( + v3 102 ) 16 ) ) 128 ) ( * ( max ( min ( * ( / v1 125 ) 16 ) 286 ) 37 ) 8 ) ) ( + ( * ( max ( min ( * ( / ( + ( + v4 v1 ) 124 ) 125 ) 16 ) 204 ) -45 ) 8 ) 564 ) ) -1 ) ),0,869
4,( == ( - ( * v0 8 ) 32 ) ( - ( + ( - ( * v0 8 ) 32 ) ( + ( * ( min ( - ( - v1 ( * v2 7 ) ) v3 ) 1 ) 8 ) 52 ) ) 1 ) ),0,869
5,( == ( * ( / ( * ( min ( + ( * v1 16 ) ( * v2 8 ) ) ( + ( * ( min ( + ( * v1 2 ) v2 ) ( + v3 3 ) ) 8 ) 12 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * v1 16 ) ( * v2 8 ) ) ( + ( * ( min ( + ( * v1 2 ) v2 ) ( + v3 3 ) ) 8 ) 12 ) ) -1 ) ),0,869
6,( == ( - ( * ( + ( * v0 16 ) v1 ) 2 ) 33 ) ( - ( + ( - ( * ( + ( * v0 16 ) v1 ) 2 ) 33 ) ( + ( * ( min ( - v2 v1 ) 1 ) 2 ) 30 ) ) 1 ) ),0,869
7,( == ( * ( / ( * ( min ( + ( * v2 1024 ) ( * ( / v1 32 ) 32 ) ) ( + ( * ( min ( + ( * v2 32 ) ( - ( / v1 32 ) 1 ) ) ( / ( - ( + v3 v1 ) 1 ) 32 ) ) 32 ) 76 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * v2 1024 ) ( * ( / v1 32 ) 32 ) ) ( + ( * ( min ( + ( * v2 32 ) ( - ( / v1 32 ) 1 ) ) ( / ( - ( + v3 v1 ) 1 ) 32 ) ) 32 ) 76 ) ) -1 ) ),0,869
8,( == ( * ( / ( * ( min ( + ( * ( % v2 ( / ( + v3 102 ) 16 ) ) 128 ) ( * ( max ( min ( * ( / v1 125 ) 16 ) 286 ) 37 ) 8 ) ) ( + ( * ( max ( min ( * ( / ( + ( + v4 v1 ) 124 ) 125 ) 16 ) 204 ) -45 ) 8 ) 564 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * ( % v2 ( / ( + v3 102 ) 16 ) ) 128 ) ( * ( max ( min ( * ( / v1 125 ) 16 ) 286 ) 37 ) 8 ) ) ( + ( * ( max ( min ( * ( / ( + ( + v4 v1 ) 124 ) 125 ) 16 ) 204 ) -45 ) 8 ) 564 ) ) -1 ) ),0,869
9,( != ( / ( + v0 9 ) 5 ) 0 ),0,2725
10,( == ( + ( / ( - v0 8 ) 32 ) ( * v1 3 ) ) ( + ( / ( - v0 8 ) 32 ) ( * v1 3 ) ) ),1,34
11,( != ( / ( + v0 46 ) 38 ) 0 ),0,406
12,( == ( min ( - 250 ( * v0 63 ) ) ( - ( max ( min ( + v1 v2 ) 2000 ) 1 ) ( + ( * v0 63 ) v3 ) ) ) ( min ( - 250 ( * v0 63 ) ) ( - ( max ( min ( + v1 v2 ) 2000 ) 1 ) ( + ( * v0 63 ) v3 ) ) ) ),1,67
13,( != ( + ( / ( - v0 v1 ) 128 ) 1 ) 0 ),0,435
