ID,Expression
1,( <= ( max ( + ( min ( min 1999 ( - ( min ( + v2 v3 ) 2000 ) 1 ) ) ( - ( + ( - ( + ( * v4 1008 ) v5 ) 10 ) ( + ( min ( - v6 ( * v4 1008 ) ) 998 ) 18 ) ) 1 ) ) 1 ) ( min ( max ( max 0 ( max v3 0 ) ) ( - ( + ( * v4 1008 ) v5 ) 10 ) ) ( + ( + ( min ( - v6 ( * v4 1008 ) ) 998 ) 18 ) ( - ( + ( * v4 1008 ) v5 ) 10 ) ) ) ) ( min ( max ( max 0 ( max v3 0 ) ) ( - ( + ( * v4 1008 ) v5 ) 10 ) ) ( + ( + ( min ( - v6 ( * v4 1008 ) ) 998 ) 18 ) ( - ( + ( * v4 1008 ) v5 ) 10 ) ) ) )
2,( && ( && ( && ( && ( && ( && 1 ( <= ( % ( - ( + ( + ( + ( * v0 32 ) v1 ) v2 ) v3 ) 15 ) 16 ) ( % ( - ( + ( + ( + ( * v0 32 ) v1 ) v2 ) v3 ) 15 ) 16 ) ) ) ( >= ( % ( - ( + ( + ( + ( * v0 32 ) v1 ) v2 ) v3 ) 15 ) 16 ) ( % ( - ( + ( + ( + ( * v0 32 ) v1 ) v2 ) v3 ) 15 ) 16 ) ) ) ( <= ( - ( + ( * ( + v4 v5 ) 4 ) 0 ) 7 ) ( - ( * ( + v4 v5 ) 4 ) 7 ) ) ) ( >= ( - ( + ( * ( + v4 v5 ) 4 ) 3 ) 7 ) ( - ( + ( * ( + v4 v5 ) 4 ) 3 ) 7 ) ) ) ( <= v6 v6 ) ) ( >= v6 v6 ) )
3,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * v0 4 ) v1 ) 0 ) ( + ( * v0 4 ) v1 ) ) ) ( >= ( + ( + ( * v0 4 ) v1 ) 3 ) ( + ( + ( * v0 4 ) v1 ) 3 ) ) ) ( <= ( / v2 4 ) ( / v2 4 ) ) ) ( >= ( + ( / v2 4 ) 32 ) ( + ( / v2 4 ) 32 ) ) ) ( <= v3 v3 ) ) ( >= ( - ( + v4 v3 ) 1 ) ( - ( + v4 v3 ) 1 ) ) )
4,( <= ( max 0 ( + ( min 1 ( - ( + 0 ( / ( + ( % v0 4 ) 47 ) 16 ) ) 1 ) ) 1 ) ) 0 )
5,( >= 0 ( - ( + 0 ( / ( + ( max v0 0 ) 138 ) 4 ) ) 1 ) )
6,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( + ( * 0 4 ) ( * ( max ( + ( * v2 2 ) v3 ) ( + ( * ( min ( / ( - ( + v4 v5 ) 1 ) 250 ) ( + v2 3 ) ) 2 ) ( + ( * ( max ( min ( - v2 ( / ( - ( + v4 v5 ) 1 ) 250 ) ) 0 ) -3 ) 2 ) v3 ) ) ) 4 ) ) 0 ) 5 ) ( - ( + ( * v2 8 ) ( + ( * v3 4 ) ( max ( * ( max ( min ( - v2 ( / ( - ( + v4 v5 ) 1 ) 250 ) ) 0 ) -3 ) 8 ) 0 ) ) ) 5 ) ) ) ( >= ( - ( + ( + ( * ( / ( + ( min ( * ( min ( - ( / ( - ( + v4 v5 ) 1 ) 250 ) v2 ) 3 ) 8 ) -3 ) 3 ) 4 ) 4 ) ( max ( * ( + ( * v2 2 ) v3 ) 4 ) ( + ( * ( + ( * ( min ( / ( - ( + v4 v5 ) 1 ) 250 ) ( + v2 3 ) ) 2 ) v3 ) 4 ) 3 ) ) ) 3 ) 5 ) ( - ( + ( * ( min ( / ( - ( + v4 v5 ) 1 ) 250 ) ( + v2 3 ) ) 8 ) ( + ( * v3 4 ) 3 ) ) 5 ) ) ) ( <= ( - ( * ( + ( / v6 ( + ( / v7 4 ) 1 ) ) ( / v8 250 ) ) 8 ) 5 ) ( - ( * ( + ( / v6 ( + ( / v7 4 ) 1 ) ) ( / v8 250 ) ) 8 ) 5 ) ) ) ( >= ( + ( * ( + ( / v6 ( + ( / v7 4 ) 1 ) ) ( / v8 250 ) ) 8 ) ( - ( - 8 5 ) 1 ) ) ( + ( * ( + ( / v6 ( + ( / v7 4 ) 1 ) ) ( / v8 250 ) ) 8 ) ( - ( - 8 5 ) 1 ) ) ) ) ( <= v9 v9 ) ) ( >= v9 v9 ) )
7,( == ( - ( * v0 16 ) 36 ) ( - ( + ( - ( * v0 16 ) 36 ) ( + ( * ( min v1 -1 ) 16 ) 48 ) ) 1 ) )
8,( == 0 ( - ( + 0 ( - 18 ( * ( max v0 5 ) 3 ) ) ) 1 ) )
9,( > ( - 0 ( * ( + v0 v1 ) 2 ) ) ( - 499 ( * ( + v0 v1 ) 2 ) ) )
10,( <= ( max ( + ( min ( / ( - 183 v0 ) 64 ) ( - ( + 0 2 ) 1 ) ) 1 ) ( min ( max ( - 0 ( / v0 64 ) ) 0 ) ( + 2 0 ) ) ) ( min ( max ( - 0 ( / v0 64 ) ) 0 ) ( + 2 0 ) ) )
11,( < ( + ( + ( * v0 2 ) v1 ) 1 ) ( + ( max ( * ( + v0 1 ) 2 ) -1 ) v1 ) )
12,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 v0 ) ( + 0 v0 ) ) ) ( >= ( + 3 v0 ) ( + ( - ( + 4 0 ) 1 ) v0 ) ) ) ( <= ( + v1 v2 ) ( + v1 v2 ) ) ) ( >= ( + v1 v2 ) ( + v1 v2 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
13,( == ( * ( / ( * ( % v0 ( / ( + v1 180 ) 168 ) ) -168 ) 4 ) 4 ) ( * ( % v0 ( / ( + v1 180 ) 168 ) ) -168 ) )
14,( == ( * ( / ( * v0 -1000 ) 4 ) 4 ) ( * v0 -1000 ) )
15,( >= ( - v0 5 ) ( + ( + ( - v0 1 ) 1 ) 1 ) )
