ID,Expression,HalideResult,HalideTime
1,( <= ( max ( + ( min ( min ( - ( / ( - ( min ( max ( min ( * v1 8 ) 2004 ) 5 ) ( + ( + v2 v3 ) 255 ) ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 252 ) 1 ) ( / ( - ( - ( + v2 v3 ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 248 ) 252 ) ) ( - ( + 0 ( / ( + v5 251 ) 252 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ),0,2945
2,( != ( / ( + ( - v0 v1 ) 20 ) 9 ) 0 ),0,445
3,( == ( * v0 2 ) ( - ( + ( * v0 2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 2 ) 1 ) v2 ) 2 ) v1 ) 2 ) 1 ) v2 ) 2 ) v1 ) 4 ) 8 ) ) 1 ) ),0,241
5,( != ( + ( / ( - ( max v0 0 ) v1 ) 3 ) 3 ) 0 ),0,479
12,( >= ( - -15 ( max v0 -13 ) ) ( - ( + ( - -15 ( max v0 -13 ) ) ( + ( max v0 -13 ) 17 ) ) 1 ) ),0,69
13,( == 0 ( - ( + 0 ( + ( * ( min ( - ( - ( max ( / ( + ( + v0 v1 ) 23 ) 8 ) 249 ) ( * v2 8 ) ) ( min ( / v1 8 ) 4 ) ) 3 ) 2 ) 10 ) ) 1 ) ),0,193
20,( != ( / ( + ( * v0 64 ) 427 ) 276 ) 0 ),0,460
22,( <= ( max ( + ( min ( min ( + ( - ( / ( min ( + ( * v3 8 ) 2 ) ( + v4 v5 ) ) 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 7 ) ( - 7 ( * ( max ( - v1 v2 ) -8 ) 2 ) ) ) ( - ( + 0 ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) ) 1 ) ) 1 ) ( min ( max ( + ( - ( / v5 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 8 ) 0 ) ( + ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) 0 ) ) ) ( min ( max ( + ( - ( / v5 4 ) ( * ( + ( * v6 12 ) v1 ) 2 ) ) 8 ) 0 ) ( + ( + ( * ( min ( - v2 v1 ) 8 ) 2 ) 9 ) 0 ) ) ),0,3286
27,( != ( / ( + ( - v0 v1 ) 81 ) 68 ) 0 ),0,453
30,( == ( - ( min ( * ( - v0 v1 ) 16 ) 72 ) 72 ) 1 ),0,45
43,( == ( - ( * ( / ( + ( + v0 v1 ) 93 ) 2 ) 2 ) 19 ) ( - ( + ( - ( * ( / ( + ( + v0 v1 ) 93 ) 2 ) 2 ) 19 ) ( + ( * ( % ( + ( + v0 v1 ) 1 ) 2 ) 2 ) 70 ) ) 1 ) ),0,185
48,( == ( * ( / ( max ( min ( + ( * v2 -500 ) ( - v1 ( min v1 4 ) ) ) 496 ) -4 ) 4 ) 4 ) ( max ( min ( + ( * v2 -500 ) ( - v1 ( min v1 4 ) ) ) 496 ) -4 ) ),0,969
52,( >= ( - ( * v0 16 ) 558 ) ( - ( + ( - ( * v0 16 ) 558 ) 438 ) 1 ) ),0,40
57,( >= 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 8 ) 220 ) 32 ) ) 1 ) ),0,40
58,( == 0 ( - ( + 0 ( - 18 ( max ( * v0 4 ) 14 ) ) ) 1 ) ),0,49
