index,start_expression,halide_result,halide_time
1,( max ( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ) ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) ),( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ),5
2,( max ( / v0 2 ) ( / ( + v0 1 ) 2 ) ),( / ( + v0 1 ) 2 ),264
3,( + ( * ( min ( + ( * v0 64 ) v1 ) ( - v2 63 ) ) 0 ) ( + -1 v3 ) ),( - v3 1 ),6
4,( - 256 v0 ),( - 256 v0 ),10
5,( + 0 ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ),( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ),7
6,( + ( - ( + v0 v1 ) 64 ) 63 ),( - ( + v0 v1 ) 1 ),24
7,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),8
8,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 4 ),( / ( + ( + v0 v1 ) 1 ) 8 ),4
9,( max ( + ( * v0 2 ) 1 ) ( - ( * v0 2 ) 1 ) ),( + ( * v0 2 ) 1 ),6
10,( + ( + ( / ( + v0 242 ) 4 ) v1 ) 0 ),( + ( / ( + v0 242 ) 4 ) v1 ),3
11,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),19
12,( + ( max ( min ( + v0 ( * 7 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 8 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),15
13,( + ( - ( + ( * v0 2 ) v1 ) 5 ) 0 ),( - ( + ( * v0 2 ) v1 ) 5 ),3
14,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) ),( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ),23
15,( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 31 ) ) 32 ) ) ( - v4 7 ) ) v5 ) ) 1 ),( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 31 ) ) 32 ) ) ( - v4 7 ) ) v5 ) ) 1 ),17
16,( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( / ( + ( + 7 ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) ) 1 ) 2 ) ),( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ),29
17,( - ( / ( + ( - ( / ( + ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 6 ) 16 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 16 ) ) 8 ) 8 ) 1 ),( / ( - ( / ( + ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 6 ) 16 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 16 ) ) 8 ),40
18,( / ( + v0 1 ) 2 ),( / ( + v0 1 ) 2 ),6
19,( min ( max ( / ( + ( - v0 v1 ) 255 ) 256 ) 0 ) v2 ),( min ( max ( / ( + ( - v0 v1 ) 255 ) 256 ) 0 ) v2 ),8
20,( + 0 ( min ( - v0 7 ) v1 ) ),( min ( - v0 7 ) v1 ),5
21,( + v0 v1 ),( + v1 v0 ),7
22,( min ( min ( min ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( - v4 7 ) ) v5 ),( min ( min ( min ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( - v4 7 ) ) v5 ),24
23,( / v0 2 ),( / v0 2 ),5
24,( + ( min ( - v0 63 ) v1 ) 63 ),( min ( + v1 63 ) v0 ),6
