index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
1,( max ( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ) ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) ),(+ 2 (* 2 (/ (+ v0 (+ v1 126)) 128))),true,(+ 2 (* 2 (/ (+ v0 (+ v1 126)) 128))),-1,16,10778,2547,5.354654576,Time Limit : 5.3535047,,( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ),5.0
2,( max ( / v0 2 ) ( / ( + v0 1 ) 2 ) ),(/ (- -1 v0) -2),true,(/ (- -1 v0) -2),-1,28,15155,3368,5.027033834,Time Limit : 5.026097679,,( / ( + v0 1 ) 2 ),264.0
3,( + ( * ( min ( + ( * v0 64 ) v1 ) ( - v2 63 ) ) 0 ) ( + -1 v3 ) ),(+ -1 v3),true,(+ -1 v3),-1,71,106714,3697,5.0534997409999995,Time Limit : 5.04427328,,( - v3 1 ),6.0
4,( - 256 v0 ),(- 256 v0),true,(- 256 v0),-1,3,8,0,0.000201122,Saturation,,( - 256 v0 ),10.0
5,( + 0 ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ),(/ (+ v1 (+ -98 (min v0 98))) 16),true,(/ (+ v1 (+ -98 (min v0 98))) 16),-1,82,59684,6880,5.008733877,Time Limit : 5.000060142,,( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ),7.0
6,( + ( - ( + v0 v1 ) 64 ) 63 ),(+ v0 (+ v1 -1)),true,(+ v0 (+ v1 -1)),-1,6,55,0,0.0005306309999999999,Saturation,,( - ( + v0 v1 ) 1 ),24.0
7,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),(+ (/ (+ v1 (min v0 8)) 4) -2),true,(+ (/ (+ v1 (min v0 8)) 4) -2),-1,71,104435,7042,5.016644319999999,Time Limit : 5.008046401,,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),8.0
8,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 4 ),(/ (/ (+ v0 (+ v1 1)) 2) 4),true,(/ (/ (+ v0 (+ v1 1)) 2) 4),-1,4,19,0,0.000312849,Saturation,,( / ( + ( + v0 v1 ) 1 ) 8 ),4.0
9,( max ( + ( * v0 2 ) 1 ) ( - ( * v0 2 ) 1 ) ),(+ 1 (+ v0 v0)),true,(+ 1 (+ v0 v0)),-1,29,11368,5112,5.037142198,Time Limit : 5.03647541,,( + ( * v0 2 ) 1 ),6.0
10,( + ( + ( / ( + v0 242 ) 4 ) v1 ) 0 ),(+ (/ (+ 242 v0) 4) v1),true,(+ (/ (+ 242 v0) 4) v1),-1,8,46,7,0.0010262799999999999,Saturation,,( + ( / ( + v0 242 ) 4 ) v1 ),3.0
11,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),(+ v0 -7),true,(+ v0 -7),-1,30,13059,4739,5.021178234000001,Time Limit : 5.020316052,,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),19.0
12,( + ( max ( min ( + v0 ( * 7 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),(+ (max v2 (min (+ v0 7) (+ (+ v1 v2) -1))) (- (+ (* v3 v4) (* v8 (max v6 (min (+ (+ v5 v6) -1) v7)))) (+ (* v6 v8) (+ v2 (* v4 v9))))),true,(+ (max v2 (min (+ v0 7) (+ (+ v1 v2) -1))) (- (+ (* v3 v4) (* v8 (max v6 (min (+ (+ v5 v6) -1) v7)))) (+ (* v6 v8) (+ v2 (* v4 v9))))),-1,59,79391,3925,5.027823260000001,Time Limit : 5.023695837,,( + ( max ( - ( min ( + v0 8 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),15.0
13,( + ( - ( + ( * v0 2 ) v1 ) 5 ) 0 ),(+ (* v0 2) (+ v1 -5)),true,(+ (* v0 2) (+ v1 -5)),-1,6,34,7,0.000568587,Saturation,,( - ( + ( * v0 2 ) v1 ) 5 ),3.0
14,( max ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) ),"(min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))",true,"(min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))",-1,43,38064,5032,5.2832245570000005,Time Limit : 5.281145074,,( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ),23.0
15,( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 31 ) ) 32 ) ) ( - v4 7 ) ) v5 ) ) 1 ),"(+ (- (max (max (/ (+ v0 v1) 2) (+ 2 (* 2 (min v2 (+ (""%"" (- v3 v2) 8) (+ v2 7)))))) (min v4 (+ 7 (+ v4 (""%"" (- v5 v4) 8))))) (min v5 (min (min (+ (* 2 (min v3 (+ v2 -7))) -1) (/ (min (- (+ v1 (min v0 64)) 63) (+ (+ v1 (min v0 64)) -64)) 2)) (+ v4 -7)))) 1)",true,"(+ (- (max (max (/ (+ v0 v1) 2) (+ 2 (* 2 (min v2 (+ (""%"" (- v3 v2) 8) (+ v2 7)))))) (min v4 (+ 7 (+ v4 (""%"" (- v5 v4) 8))))) (min v5 (min (min (+ (* 2 (min v3 (+ v2 -7))) -1) (/ (min (- (+ v1 (min v0 64)) 63) (+ (+ v1 (min v0 64)) -64)) 2)) (+ v4 -7)))) 1)",-1,64,74323,6267,5.085031547000001,Time Limit : 5.0798606490000004,,( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ) ( min ( min ( min ( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 31 ) ) 32 ) ) ( - v4 7 ) ) v5 ) ) 1 ),17.0
