index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( == ( + ( * v0 39 ) ( + ( * v1 64 ) v2 ) ) ( + ( * v0 39 ) ( + ( * v1 64 ) v2 ) ) ),1/0,true,1,-1,1,19,0,0.000175059,Goal 1 Matched,
2,( == ( min ( + ( * ( max ( min ( * ( / ( - ( + v0 v1 ) 1 ) 125 ) 8 ) 113 ) -11 ) 2 ) 26 ) v2 ) ( min ( + ( * ( max ( min ( * ( / ( - ( + v0 v1 ) 1 ) 125 ) 8 ) 113 ) -11 ) 2 ) 26 ) v2 ) ),1/0,true,1,-1,1,38,0,0.000198021,Goal 1 Matched,
3,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 0 ) 5 ) ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 0 ) 5 ) ) ) ( >= ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 3 ) 5 ) ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) ( - ( + 4 0 ) 1 ) ) 5 ) ) ) ( <= ( - ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) 5 ) ( - ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) 5 ) ) ) ( >= ( - ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) 5 ) ( - ( + ( * ( + ( * v2 2 ) v3 ) 4 ) v4 ) 5 ) ) ) ( <= ( * v5 69 ) ( + ( * v5 69 ) 0 ) ) ) ( >= ( + ( * v5 69 ) 68 ) ( + ( * v5 69 ) ( - ( + 69 0 ) 1 ) ) ) ),1/0,true,1,-1,2,94,14,0.000717003,Goal 1 Matched,
4,( == ( - v0 ( * v1 2 ) ) ( - v0 ( * v1 2 ) ) ),1/0,true,1,-1,1,12,0,0.000115126,Goal 1 Matched,
5,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( * v0 2 ) v1 ) ( + ( * v0 2 ) v1 ) ) ) ( >= ( + ( * v0 2 ) v1 ) ( + ( * v0 2 ) v1 ) ) ) ( <= ( - ( + ( * ( + ( * 0 2 ) ( + ( * v2 2 ) ( + ( * v3 16 ) v4 ) ) ) 2 ) 0 ) 2 ) ( - ( * ( + ( * v2 2 ) ( + ( * v3 16 ) v4 ) ) 2 ) 2 ) ) ) ( >= ( - ( + ( * ( + ( * 0 2 ) ( + ( * v2 2 ) ( + ( * v3 16 ) v4 ) ) ) 2 ) 3 ) 2 ) ( - ( + ( * ( + ( * v2 2 ) ( + ( * v3 16 ) v4 ) ) 2 ) 3 ) 2 ) ) ) ( <= ( + ( * v5 2 ) v6 ) ( + ( * v5 2 ) v6 ) ) ) ( >= ( + ( * v5 2 ) v6 ) ( + ( * v5 2 ) v6 ) ) ),1/0,true,1,-1,3,247,28,0.001607784,Goal 1 Matched,
6,( == ( * ( + ( * v0 2 ) v1 ) 4 ) ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 8 ) 1 ) ),1/0,true,0,-1,7,1368,849,0.010407650000000001,Goal 0 Matched,
7,( && ( && ( && ( && ( && ( && 1 ( <= v0 v0 ) ) ( >= v0 v0 ) ) ( <= ( + 0 ( + ( * v1 32 ) v2 ) ) ( + ( * v1 32 ) v2 ) ) ) ( >= ( + 3 ( + ( + ( * v1 32 ) v2 ) 28 ) ) ( + ( + ( * v1 32 ) 31 ) v2 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) ),1/0,true,1,-1,4,581,59,0.001587068,Goal 1 Matched,
8,( == ( min ( - ( max ( min ( * ( / ( + ( + v0 v1 ) 7 ) 8 ) 2 ) 497 ) -2 ) ( max ( min ( * ( / v1 8 ) 2 ) 509 ) 10 ) ) ( + v2 3 ) ) ( min ( - ( max ( min ( * ( / ( + ( + v0 v1 ) 7 ) 8 ) 2 ) 497 ) -2 ) ( max ( min ( * ( / v1 8 ) 2 ) 509 ) 10 ) ) ( + v2 3 ) ) ),1/0,true,1,-1,1,49,0,0.000116749,Goal 1 Matched,
9,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * v0 4 ) v1 ) 0 ) ( + ( + ( * v0 4 ) 0 ) v1 ) ) ) ( >= ( + ( + ( * v0 4 ) v1 ) 3 ) ( + ( + ( * v0 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) ) ) ( <= ( + ( + ( min ( * v2 8 ) 117 ) v3 ) v4 ) ( + ( + ( min ( * v2 8 ) 117 ) v3 ) v4 ) ) ) ( >= ( + ( + ( min ( * v2 8 ) 117 ) v3 ) v4 ) ( + ( + ( min ( * v2 8 ) 117 ) v3 ) v4 ) ) ) ( <= v5 v5 ) ) ( >= v5 v5 ) ),1/0,true,1,-1,3,278,35,0.0007850719999999999,Goal 1 Matched,
10,( == ( max ( + v0 v1 ) ( + ( + ( * v2 8 ) ( + ( * v3 126 ) v4 ) ) 80 ) ) ( max ( + v0 v1 ) ( + ( + ( * v2 8 ) ( + ( * v3 126 ) v4 ) ) 80 ) ) ),1/0,true,1,-1,1,31,0,0.000086139,Goal 1 Matched,
11,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) v0 ) 0 ) ( + ( + ( * 0 4 ) 0 ) v0 ) ) ) ( >= ( + ( + ( * 7 4 ) v0 ) 3 ) ( + ( + ( * ( - ( + 8 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) v0 ) ) ) ( <= ( + ( * v1 500 ) v2 ) ( + ( + ( * v1 500 ) 0 ) v2 ) ) ) ( >= ( + ( + ( * v1 500 ) v2 ) 499 ) ( + ( + ( * v1 500 ) ( - ( + 500 0 ) 1 ) ) v2 ) ) ) ( <= v3 v3 ) ) ( >= ( - ( + v4 v3 ) 1 ) ( - ( + v4 v3 ) 1 ) ) ),1/0,true,1,-1,3,222,31,0.000777979,Goal 1 Matched,
12,( && ( && ( && ( && ( && ( && 1 ( <= v0 v0 ) ) ( >= v0 v0 ) ) ( <= ( + ( + ( * 0 4 ) v1 ) 0 ) ( + ( + ( * 0 4 ) v1 ) 0 ) ) ) ( >= ( + ( + ( * 2 4 ) v1 ) 3 ) ( + ( + ( * 2 4 ) v1 ) ( - ( + 4 0 ) 1 ) ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) ),1/0,true,1,-1,2,38,11,0.000290981,Goal 1 Matched,
13,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( + ( * v0 3 ) v1 ) v2 ) 3 ) ( - ( + ( + ( * v0 3 ) v1 ) v2 ) 3 ) ) ) ( >= ( - ( + ( + ( * v0 3 ) v1 ) v2 ) 3 ) ( - ( + ( + ( * v0 3 ) v1 ) v2 ) 3 ) ) ) ( <= ( - ( + ( + ( * 0 4 ) v3 ) 0 ) 5 ) ( - v3 5 ) ) ) ( >= ( - ( + ( + ( * 126 4 ) v3 ) 3 ) 5 ) ( + v3 501 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ),1/0,true,1,-1,7,3853,3781,0.055553363,Goal 1 Matched,
14,( > ( - 0 v0 ) ( - 124 v0 ) ),1/0,true,0,-1,6,79,93,0.001071838,Goal 0 Matched,
15,( <= ( max 0 ( + ( min ( / ( - 490 ( % ( + ( + ( min ( + ( * v0 500 ) 500 ) v1 ) v2 ) 7 ) 8 ) ) 32 ) ( - ( + 0 ( / ( + ( % v3 8 ) 539 ) 32 ) ) 1 ) ) 1 ) ) 0 ),1/0,false,"(<= 491 (max (""%"" (+ (min (* v0 500) (+ v1 -500)) (+ v2 507)) 8) (* -1 (+ 17 (""%"" v3 8)))))",-1,46,81641,14676,6.054722701999999,Time Limit : 3.001422153,
16,( == ( - v0 ( * v1 255 ) ) ( - v0 ( * v1 255 ) ) ),1/0,true,1,-1,1,12,0,0.000072827,Goal 1 Matched,
17,( == ( max ( min ( max ( / ( + ( - v0 ( * ( / v1 4 ) 4 ) ) 80 ) 64 ) 0 ) ( / ( + v2 74 ) 64 ) ) ( / ( + ( min ( - ( min ( + v3 v0 ) ( + ( min ( + ( + v3 v0 ) 69 ) v4 ) 7 ) ) ( * ( / v1 4 ) 4 ) ) ( + v2 70 ) ) 4 ) 64 ) ) ( max ( min ( max ( / ( + ( - v0 ( * ( / v1 4 ) 4 ) ) 80 ) 64 ) 0 ) ( / ( + v2 74 ) 64 ) ) ( / ( + ( min ( - ( min ( + v3 v0 ) ( + ( min ( + ( + v3 v0 ) 69 ) v4 ) 7 ) ) ( * ( / v1 4 ) 4 ) ) ( + v2 70 ) ) 4 ) 64 ) ) ),1/0,true,1,-1,1,72,0,0.000130326,Goal 1 Matched,
18,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 0 ) 5 ) ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 0 ) 5 ) ) ) ( >= ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 3 ) 5 ) ( - ( + ( * ( + ( * v0 2 ) v1 ) 4 ) ( - ( + 4 0 ) 1 ) ) 5 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= ( + ( * v2 69 ) v3 ) ( + ( * v2 69 ) v3 ) ) ) ( >= ( + ( * v2 69 ) v3 ) ( + ( * v2 69 ) v3 ) ) ),1/0,true,1,-1,2,56,8,0.00028841800000000003,Goal 1 Matched,
