ID,Expression,HalideResult,HalideTime
1,( == ( min ( - 125 ( * v0 16 ) ) ( + ( - v1 ( + ( * v0 16 ) ( * v2 126 ) ) ) 4 ) ) ( min ( - 125 ( * v0 16 ) ) ( + ( - v1 ( + ( * v0 16 ) ( * v2 126 ) ) ) 4 ) ) ),1,56
2,( == ( + ( min ( * v0 4 ) 139 ) ( + v1 v2 ) ) ( + ( min ( * v0 4 ) 139 ) ( + v1 v2 ) ) ),1,39
3,( == ( / ( + v0 667 ) 668 ) ( / ( + v0 667 ) 668 ) ),1,39
4,( == ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( - v2 1 ) ) ( min ( / ( - ( + v0 v1 ) 1 ) 4 ) ( - v2 1 ) ) ),1,51
5,( >= ( / ( + v0 10 ) 4 ) ( - ( + ( / ( + v0 10 ) 4 ) ( / ( + ( % ( + v0 2 ) 4 ) 3 ) 4 ) ) 1 ) ),1,66
6,( == ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( + v2 v3 ) ) ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( + v2 v3 ) ) ),1,48
7,( >= ( - ( + ( * v0 16 ) ( + v1 v2 ) ) 1003 ) ( - ( + ( - ( + ( * v0 16 ) ( + v1 v2 ) ) 1003 ) 19 ) 1 ) ),0,67
8,( == ( - ( / ( + v0 14 ) 64 ) ( * v1 2 ) ) ( - ( / ( + v0 14 ) 64 ) ( * v1 2 ) ) ),1,48
9,( == ( + ( * v0 32 ) ( + ( min ( * v1 4 ) 46 ) ( + v2 v3 ) ) ) ( + ( * v0 32 ) ( + ( min ( * v1 4 ) 46 ) ( + v2 v3 ) ) ) ),1,64
10,( == ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 59 ) 3 ) ) ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 59 ) 3 ) ) ),1,99
11,( < ( + ( + ( * v0 7 ) v1 ) 8 ) ( - ( + ( * ( + v0 1 ) 7 ) v1 ) 8 ) ),0,64
12,( == ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 1017 ) 1000 ) ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 1017 ) 1000 ) ),1,148
13,( == ( min ( + v0 18 ) ( + v1 v2 ) ) ( min ( + v0 18 ) ( + v1 v2 ) ) ),1,47
14,( == ( - ( - ( + v0 v1 ) ( * v2 1008 ) ) ( + ( * v3 504 ) v1 ) ) ( - ( - ( + v0 v1 ) ( * v2 1008 ) ) ( + ( * v3 504 ) v1 ) ) ),1,56
15,( == ( + ( min ( + ( + ( min ( + ( * v0 57 ) ( + ( * v1 508 ) v2 ) ) ( + ( + ( min ( * v1 508 ) 502 ) v2 ) 459 ) ) ( * v3 1000 ) ) 39 ) ( + v4 v2 ) ) ( * v5 3 ) ) ( + ( min ( + ( + ( min ( + ( * v0 57 ) ( + ( * v1 508 ) v2 ) ) ( + ( + ( min ( * v1 508 ) 502 ) v2 ) 459 ) ) ( * v3 1000 ) ) 39 ) ( + v4 v2 ) ) ( * v5 3 ) ) ),1,99
16,( == ( + ( / ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) ( / v1 4 ) ) 126 ) 1 ) ( + ( / ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) ( / v1 4 ) ) 126 ) 1 ) ),1,99
17,( >= ( - ( + v0 v1 ) 10 ) ( - ( + ( - ( + v0 v1 ) 10 ) 81 ) 1 ) ),0,52
18,( >= v0 ( + v0 1 ) ),0,37
19,( == ( + ( * ( + ( * v0 9 ) v1 ) 4 ) ( + v2 v3 ) ) ( + ( * ( + ( * v0 9 ) v1 ) 4 ) ( + v2 v3 ) ) ),1,41
20,( == ( - ( min ( + ( * v0 16 ) 6 ) v1 ) ( * ( + ( * v0 4 ) v2 ) 4 ) ) ( - ( min ( + ( * v0 16 ) 6 ) v1 ) ( * ( + ( * v0 4 ) v2 ) 4 ) ) ),1,70
21,( == ( min ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) ( min ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) ),1,58
22,( == ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) ( + ( + ( * v2 8 ) v3 ) 7 ) ) ( min ( / ( + ( + v0 v1 ) 3 ) 4 ) ( + ( + ( * v2 8 ) v3 ) 7 ) ) ),1,82
