index,start_expression,end_expressions,result,best_expr,total_time
1,( + x 0 ),( x ),true,( x ),0.00022718
2,( + x x ),( * x 2 ),true,( * x 2 ),0.000487521
3,( + ( + x c0 ) y ),( + ( + x y ) c0 ),true,( + ( + x y ) c0 ),0.0014459260000000002
4,( + x ( + y c0 ) ),( + ( + x y ) c0 ),true,( + ( + x y ) c0 ),0.001462672
5,( + ( - c0 x ) y ),( + ( - y x ) c0 ),true,( + ( - y x ) c0 ),0.0013685169999999999
6,( + ( - x y ) y ),( x ),true,( x ),0.056420186000000004
7,( + x ( - y x ) ),( y ),true,( y ),0.051086887
8,( + ( + ( - x y ) z ) y ),( + x z ),true,( + x z ),0.05438091299999999
9,( + ( + z ( - x y ) ) y ),( + z x ),true,( + z x ),0.05282535
10,( + x ( + ( - y x ) z ) ),( + y z ),true,( + y z ),0.051774797
11,( + x ( + z ( - y x ) ) ),( + z y ),true,( + z y ),0.053433725999999994
12,( + x ( - c0 y ) ),( + ( - x y ) c0 ),true,( + ( - x y ) c0 ),0.001062318
13,( + ( - x y ) ( - y z ) ),( - x z ),true,( - x z ),0.055848838000000005
14,( + ( - x y ) ( - z x ) ),( - z y ),true,( - z y ),0.052217374999999996
15,( + ( * x y ) ( * z y ) ),( * ( + x z ) y ),true,( * ( + x z ) y ),0.0013999669999999998
16,( + ( * x y ) ( * y z ) ),( * ( + x z ) y ),true,( * ( + x z ) y ),0.001390254
17,( + ( * y x ) ( * z y ) ),( * y ( + x z ) ),true,( * y ( + x z ) ),0.001364025
18,( + ( * y x ) ( * y z ) ),( * y ( + x z ) ),true,( * y ( + x z ) ),0.0013555079999999998
19,( + x ( * x y ) ),( * x ( + y 1 ) ),true,( * x ( + y 1 ) ),0.0010374260000000001
20,( + x ( * y x ) ),( * ( + y 1 ) x ),true,( * ( + y 1 ) x ),0.0011069329999999998
21,( + ( * x y ) x ),( * x ( + y 1 ) ),true,( * x ( + y 1 ) ),0.001117236
22,( + ( * y x ) x ),( * ( + y 1 ) x ),true,( * ( + y 1 ) x ),0.001211201
23,( + ( min x ( - y z ) ) z ),( min ( + x z ) y ),false,,0.0008294260000000001
24,( + ( min ( - y z ) x ) z ),( min y ( + x z ) ),false,,0.000704422
25,( + ( min x ( + y c0 ) ) c1 ),( min ( + x c1 ) y ),false,,0.000727264
26,( + ( min ( + y c0 ) x ) c1 ),( min y ( + x c1 ) ),false,,0.000726394
27,( + z ( min x ( - y z ) ) ),( min ( + z x ) y ),false,,0.000633572
28,( + z ( min ( - y z ) x ) ),( min y ( + z x ) ),false,,0.000628854
29,( + z ( max x ( - y z ) ) ),( max ( + z x ) y ),false,,0.000634189
30,( + z ( max ( - y z ) x ) ),( max y ( + z x ) ),false,,0.000644135
31,( + ( max x ( - y z ) ) z ),( max ( + x z ) y ),false,,0.000637793
32,( + ( max ( - y z ) x ) z ),( max y ( + x z ) ),false,,0.000634131
33,( + ( max x ( + y c0 ) ) c1 ),( max ( + x c1 ) y ),false,,0.000795065
34,( + ( max ( + y c0 ) x ) c1 ),( max y ( + x c1 ) ),false,,0.000835843
35,( + ( max x y ) ( min x y ) ),( + x y ),false,,0.0006219250000000001
36,( + ( max x y ) ( min y x ) ),( + x y ),false,,0.0006296320000000001
37,( + ( min x ( + y ( * z c0 ) ) ) ( * z c1 ) ),( min ( + x ( * z c1 ) ) y ),false,,0.001396794
38,( + ( min x ( + ( * y c0 ) z ) ) ( * y c1 ) ),( min ( + x ( * y c1 ) ) z ),false,,0.001427698
39,( + ( min x ( * y c0 ) ) ( * y c1 ) ),( min ( + x ( * y c1 ) ) 0 ),false,,0.00137789
40,( + ( min ( + x ( * y c0 ) ) z ) ( * y c1 ) ),( min ( + ( * y c1 ) z ) x ),false,,0.001462349
41,( + ( min ( + ( * x c0 ) y ) z ) ( * x c1 ) ),( min y ( + ( * x c1 ) z ) ),false,,0.001468869
42,( + ( min ( * x c0 ) y ) ( * x c1 ) ),( min ( + ( * x c1 ) y ) 0 ),false,,0.0012730900000000002
43,( + ( max x ( + y ( * z c0 ) ) ) ( * z c1 ) ),( max ( + x ( * z c1 ) ) y ),false,,0.001435248
44,( + ( max x ( + ( * y c0 ) z ) ) ( * y c1 ) ),( max ( + x ( * y c1 ) ) z ),false,,0.001436341
45,( + ( max x ( * y c0 ) ) ( * y c1 ) ),( max ( + x ( * y c1 ) ) 0 ),false,,0.001307677
46,( + ( max ( + x ( * y c0 ) ) z ) ( * y c1 ) ),( max x ( + ( * y c1 ) z ) ),false,,0.001362629
47,( + ( max ( + ( * x c0 ) y ) z ) ( * x c1 ) ),( max ( + ( * x c1 ) z ) y ),false,,0.001316204
48,( + ( max ( * x c0 ) y ) ( * x c1 ) ),( max ( + ( * x c1 ) y ) 0 ),false,,0.0012125850000000002
49,( + ( / x 2 ) ( % x 2 ) ),( / ( + x 1 ) 2 ),false,,0.000470494
50,( + x ( * ( / ( - c0 x ) c1 ) c1 ) ),( - c0 ( % ( - c0 x ) c1 ) ),false,,0.0009279959999999999
51,( + x ( * ( + ( / ( - c0 x ) c1 ) y ) c1 ) ),( + ( - ( * y c1 ) ( % ( - c0 x ) c1 ) ) c0 ),false,,0.0026248549999999997
52,( + x ( * ( + y ( / ( - c0 x ) c1 ) ) c1 ) ),( + ( - ( * y c1 ) ( % ( - c0 x ) c1 ) ) c0 ),false,,0.002423198
