index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( <= ( max ( + ( min ( min ( - ( / ( - ( min ( max ( min ( * v1 8 ) 2004 ) 5 ) ( + ( + v2 v3 ) 255 ) ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 252 ) 1 ) ( / ( - ( - ( + v2 v3 ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 248 ) 252 ) ) ( - ( + 0 ( / ( + v5 251 ) 252 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ),1/0,false,(<= (/ (min (+ (max (min -4 (* 8 (/ v4 -8))) -1992) (min (+ (max 5 (* 8 v1)) -252) (+ 3 (min (+ v2 v3) 1749)))) (+ (+ v2 (+ v3 -248)) (min (max (min -4 (* 8 (/ v4 -8))) -1992) (+ (+ 248 (* v3 -1)) (+ (+ -1 v5) (* v2 -1)))))) 252) (+ -1 (max 0 (/ (+ (max (min -4 (* 8 (/ v4 -8))) -1992) (+ v3 255)) 252)))),-1,8,18873,1189,3.189759458000001,Time Limit : 0.100331624,
2,( != ( / ( + ( - v0 v1 ) 20 ) 9 ) 0 ),1/0,false,(!= (/ (+ 20 (- v0 v1)) 9) 0),-1,11,140,56,0.002893909,Saturation,
3,( == ( * v0 2 ) ( - ( + ( * v0 2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 2 ) 1 ) v2 ) 2 ) v1 ) 2 ) 1 ) v2 ) 2 ) v1 ) 4 ) 8 ) ) 1 ) ),1/0,true,0,-1,7,4270,621,0.11898421099999999,Goal 0 Matched,
4,( == ( min ( max ( max ( - ( max ( min v0 2002 ) 3 ) 3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 2002 ) 3 ) v3 ) 3 ) ) ( min ( max ( max ( - ( max ( min v0 2002 ) 3 ) 3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 2002 ) 3 ) v3 ) 3 ) ) ),1/0,true,1,-1,1,39,0,0.00012278000000000001,Goal 1 Matched,
5,( != ( + ( / ( - ( max v0 0 ) v1 ) 3 ) 3 ) 0 ),1/0,false,(!= 3 (/ (+ (- 0 v1) (max 0 v0)) -3)),-1,17,12195,1992,3.1983556640000015,Time Limit : 0.100003633,
6,( == ( + ( / ( - ( / ( + ( + v0 v1 ) 39 ) 32 ) ( / ( - v1 8 ) 32 ) ) 36 ) 1 ) ( + ( / ( - ( / ( + ( + v0 v1 ) 39 ) 32 ) ( / ( - v1 8 ) 32 ) ) 36 ) 1 ) ),1/0,true,1,-1,1,28,0,0.000110434,Goal 1 Matched,
7,( == ( min ( * v0 8 ) ( + ( * ( + ( / v1 8 ) ( * v2 63 ) ) 8 ) 485 ) ) ( min ( * v0 8 ) ( + ( * ( + ( / v1 8 ) ( * v2 63 ) ) 8 ) 485 ) ) ),1/0,true,1,-1,1,25,0,0.00011076,Goal 1 Matched,
8,( == ( - ( + ( * v0 8 ) ( * v1 33 ) ) ( min ( - ( * v2 8 ) ( * v3 65 ) ) ( + ( + ( min ( * v1 33 ) 32 ) ( * v0 8 ) ) 23 ) ) ) ( - ( + ( * v0 8 ) ( * v1 33 ) ) ( min ( - ( * v2 8 ) ( * v3 65 ) ) ( + ( + ( min ( * v1 33 ) 32 ) ( * v0 8 ) ) 23 ) ) ) ),1/0,true,1,-1,1,39,0,0.00012033100000000001,Goal 1 Matched,
9,( == ( min ( max ( min ( + ( / v0 8 ) v1 ) 249 ) 0 ) ( + ( max ( min ( / v0 8 ) 256 ) 7 ) 114 ) ) ( min ( max ( min ( + ( / v0 8 ) v1 ) 249 ) 0 ) ( + ( max ( min ( / v0 8 ) 256 ) 7 ) 114 ) ) ),1/0,true,1,-1,1,41,0,0.00012714400000000001,Goal 1 Matched,
10,( == ( + ( max ( min ( / ( + v0 v1 ) 8 ) 249 ) 0 ) ( * v2 4 ) ) ( + ( max ( min ( / ( + v0 v1 ) 8 ) 249 ) 0 ) ( * v2 4 ) ) ),1/0,true,1,-1,1,26,0,0.00010995499999999999,Goal 1 Matched,
