index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
1,( max ( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ) ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) ),(+ 2 (* 2 (/ (+ (+ v0 v1) 126) 128))),true,(+ 2 (* 2 (/ (+ (+ v0 v1) 126) 128))),-1,50,36665,6417,5.004763046,Time Limit : 5.003094917,,( + ( * ( / ( + ( + v0 v1 ) 126 ) 128 ) 2 ) 2 ),5.0
2,( max ( / v0 2 ) ( / ( + v0 1 ) 2 ) ),(/ (- -1 v0) -2),true,(/ (- -1 v0) -2),-1,63,52512,9219,5.692222049,Time Limit : 5.690002158,,( / ( + v0 1 ) 2 ),264.0
3,( + ( * ( min ( + ( * v0 64 ) v1 ) ( - v2 63 ) ) 0 ) ( + -1 v3 ) ),(+ -1 v3),true,(+ -1 v3),-1,80,121170,3927,5.005701605000001,Time Limit : 5.000535237,,( - v3 1 ),6.0
4,( - 256 v0 ),(- 256 v0),true,(- 256 v0),-1,3,8,0,0.000139729,Saturation,,( - 256 v0 ),10.0
5,( + 0 ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ),(/ (+ v1 (+ -98 (min v0 98))) 16),true,(/ (+ v1 (+ -98 (min v0 98))) 16),-1,99,144692,8746,5.007771444999999,Time Limit : 5.001036388,,( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ),7.0
6,( + ( - ( + v0 v1 ) 64 ) 63 ),(+ v0 (+ v1 -1)),true,(+ v0 (+ v1 -1)),-1,6,55,0,0.00039567099999999995,Saturation,,( - ( + v0 v1 ) 1 ),24.0
7,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),(+ (/ (+ v1 (min v0 8)) 4) -2),true,(+ (/ (+ v1 (min v0 8)) 4) -2),-1,102,103152,17883,5.006846907000002,Time Limit : 5.001203318,,( - ( / ( + ( min v0 8 ) v1 ) 4 ) 2 ),8.0
8,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 4 ),(/ (/ (+ v0 (+ v1 1)) 2) 4),true,(/ (/ (+ v0 (+ v1 1)) 2) 4),-1,4,19,0,0.000209882,Saturation,,( / ( + ( + v0 v1 ) 1 ) 8 ),4.0
9,( max ( + ( * v0 2 ) 1 ) ( - ( * v0 2 ) 1 ) ),(+ 1 (+ v0 v0)),true,(+ 1 (+ v0 v0)),-1,60,50305,12973,7.011072844,Time Limit : 7.007946174,,( + ( * v0 2 ) 1 ),6.0
10,( + ( + ( / ( + v0 242 ) 4 ) v1 ) 0 ),(+ (/ (+ 242 v0) 4) v1),true,(+ (/ (+ 242 v0) 4) v1),-1,8,46,7,0.00080461,Saturation,,( + ( / ( + v0 242 ) 4 ) v1 ),3.0
11,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),(+ v0 -7),true,(+ v0 -7),-1,53,17839,6382,5.001782273000001,Time Limit : 5.001050401,,( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ),19.0
12,( + ( max ( min ( + v0 ( * 7 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),(+ (max v2 (min (+ v0 7) (- (+ v1 v2) 1))) (- (+ (* v3 v4) (* v8 (max v6 (min (+ (+ v5 v6) -1) v7)))) (+ (* v6 v8) (+ v2 (* v4 v9))))),true,(+ (max v2 (min (+ v0 7) (- (+ v1 v2) 1))) (- (+ (* v3 v4) (* v8 (max v6 (min (+ (+ v5 v6) -1) v7)))) (+ (* v6 v8) (+ v2 (* v4 v9))))),-1,79,164559,7790,5.009128387,Time Limit : 5.002377619,,( + ( max ( - ( min ( + v0 8 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),15.0
13,( + ( - ( + ( * v0 2 ) v1 ) 5 ) 0 ),(+ (* v0 2) (+ v1 -5)),true,(+ (* v0 2) (+ v1 -5)),-1,6,34,7,0.000432848,Saturation,,( - ( + ( * v0 2 ) v1 ) 5 ),3.0
