index,rule,LHS,RHS
1,(x + 0) => (x),( + x 0 ),( x )
2,(x + x) => (x * 2),( + x x ),( * x 2 )
3,(( x + c0 ) + y) => (( x + y ) + c0),( + ( + x c0 ) y ),( + ( + x y ) c0 )
4,(x + ( y + c0 )) => (( x + y ) + c0),( + x ( + y c0 ) ),( + ( + x y ) c0 )
5,(( c0 - x ) + y) => (( y - x ) + c0),( + ( - c0 x ) y ),( + ( - y x ) c0 )
6,(( x - y ) + y) => (x),( + ( - x y ) y ),( x )
7,(x + ( y - x )) => (y),( + x ( - y x ) ),( y )
8,(( ( x - y ) + z ) + y) => (x + z),( + ( + ( - x y ) z ) y ),( + x z )
9,(( z + ( x - y ) ) + y) => (z + x),( + ( + z ( - x y ) ) y ),( + z x )
10,(x + ( ( y - x ) + z )) => (y + z),( + x ( + ( - y x ) z ) ),( + y z )
11,(x + ( z + ( y - x ) )) => (z + y),( + x ( + z ( - y x ) ) ),( + z y )
12,(x + ( c0 - y )) => (( x - y ) + c0),( + x ( - c0 y ) ),( + ( - x y ) c0 )
13,(( x - y ) + ( y - z )) => (x - z),( + ( - x y ) ( - y z ) ),( - x z )
14,(( x - y ) + ( z - x )) => (z - y),( + ( - x y ) ( - z x ) ),( - z y )
15,(x * y + z * y) => (( x + z ) * y),( * x ( + y ( * z y ) ) ),( * ( + x z ) y )
16,(x * y + y * z) => (( x + z ) * y),( * x ( + y ( * y z ) ) ),( * ( + x z ) y )
17,(y * x + z * y) => (y * ( x + z )),( * y ( + x ( * z y ) ) ),( * y ( + x z ) )
18,(y * x + y * z) => (y * ( x + z )),( * y ( + x ( * y z ) ) ),( * y ( + x z ) )
19,(x + x * y) => (x * ( y + 1 )),( + x ( * x y ) ),( * x ( + y 1 ) )
20,(x + y * x) => (( y + 1 ) * x),( + x ( * y x ) ),( * ( + y 1 ) x )
21,(x * y + x) => (x * ( y + 1 )),( * x ( + y x ) ),( * x ( + y 1 ) )
22,(y * x + x) => (( y + 1 ) * x),( * y ( + x x ) ),( * ( + y 1 ) x )
23,"(min ( x , y - z ) + z) => (min ( x + z , y ))",( + ( min x ( - y z ) ) z ),( min ( + x z ) y )
24,"(min ( y - z , x ) + z) => (min ( y , x + z ))",( + ( min ( - y z ) x ) z ),( min y ( + x z ) )
25,"(min ( x , y + c0 ) + c1) => (min ( x + c1 , y ))",( + ( min x ( + y c0 ) ) c1 ),( min ( + x c1 ) y )
26,"(min ( y + c0 , x ) + c1) => (min ( y , x + c1 ))",( + ( min ( + y c0 ) x ) c1 ),( min y ( + x c1 ) )
27,"(z + min ( x , y - z )) => (min ( z + x , y ))",( + z ( min x ( - y z ) ) ),( min ( + z x ) y )
28,"(z + min ( y - z , x )) => (min ( y , z + x ))",( + z ( min ( - y z ) x ) ),( min y ( + z x ) )
29,"(z + max ( x , y - z )) => (max ( z + x , y ))",( + z ( max x ( - y z ) ) ),( max ( + z x ) y )
30,"(z + max ( y - z , x )) => (max ( y , z + x ))",( + z ( max ( - y z ) x ) ),( max y ( + z x ) )
